イベント名,イベント名(英語),カテゴリ,開始日,終了日,イベント説明,イベント説明(英語),開催場所について,イベントスケジュールについて,イベント開始時刻,イベント終了時刻,利用料金,問合先,問合先電話番号,主催者,開催場所施設名,駐車場有無,緯度,経度,対象地区,画像URL,ホームページアドレス,情報変更日時,情報作成日時
片上地区　〜子育て広場〜,"",子育て,2017/06/07,2017/06/07,子育て広場を開催します。子育てサポーターがお待ちしています。,"",鯖江市片上公民館,10:00〜,10:00,"","",鯖江市片上公民館,0778-51-4801,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
新横江地区　〜子育てフェスタ〜,"",子育て,2017/06/10,2017/06/10,新横江地区に住んでいる0〜5歳児さんとその保護者対象の親子ふれあいイベントです。,"",鯖江市新横江公民館,10:00〜,10:00,"","",鯖江市新横江公民館,0778-51-2969,"",鯖江市新横江公民館,"",35.942024,136.200731,新横江地区,http://www.city.sabae.fukui.jp/bin/000090-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinyokoekominkan/shinyokoekominkan.html,"",""
中河地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2017/06/12,2017/06/12,小学6年生と、乳幼児とのふれあい体験です。未来ある子ども達に、愛らしいお子さんのあれこれを伝えてください。,"",鯖江市中河公民館,10:00〜11：00,10:00,"","",鯖江市中河公民館,0778-51-3102,"",鯖江市中河公民館,"",35.956213,136.208984,中河地区,http://www.city.sabae.fukui.jp/bin/000699-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/nakagawakominkan/nakagawakominkan.html,"",""
鯖江地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2017/06/15,2017/06/15,小学6年生と、乳幼児とのふれあい体験です。＊問合せ先・・・鯖江公民館（℡51-3527）,"",鯖江市惜陰小学校,10:00〜11：00,10:00,"","",鯖江市鯖江公民館,0778-51-3010,"",鯖江市惜陰小学校,"",35.942461,136.186398,鯖江地区,"",https://www.city.sabae.fukui.jp/about_city/shinoshokai/kokyoshisetsu/gakko/sekiinshogakko.html,"",""
豊地区　〜絵本や木のおもちゃで遊ぼう〜,"",子育て,2017/06/15,2017/06/15,木のおもちゃと絵本の紹介があります。遊びに来てください。,"",鯖江市豊公民館,10:00〜,10:00,"","",鯖江市豊公民館,0778-62-1011,"",鯖江市豊公民館,"",35.945984,136.152168,豊地区,http://www.city.sabae.fukui.jp/bin/000722-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yutakakominkan/yutakakominkan.html,"",""
子育て支援センタ−　ファミリーデー（お父さんデー）,"",子育て,2017/06/17,2017/06/17,家族でゆったりふれあいの時間をお楽しみください。,"",鯖江市子育て支援センタ−,10:00〜12：00,10:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
神明鳥羽地区　〜親子ヨガ教室〜,"",子育て,2017/06/19,2017/06/19,講師：高木 和紀氏　　定員20組（1・2・3歳児対象）,"",鯖江市神明公民館,10:00〜,10:00,"","",鯖江市神明公民館,0778-51-5065,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
鯖江地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2017/06/19,2017/06/19,小学6年生と、乳幼児とのふれあい体験です。＊問合せ先・・・鯖江公民館（℡51-3527）,"",鯖江市惜陰小学校,10:00〜11：00,10:00,"","",鯖江市鯖江公民館,0778-51-3010,"",鯖江市惜陰小学校,"",35.942461,136.186398,鯖江地区,"",https://www.city.sabae.fukui.jp/about_city/shinoshokai/kokyoshisetsu/gakko/sekiinshogakko.html,"",""
立待地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2017/06/19,2017/06/19,小学6年生と、乳幼児とのふれあい体験です。未来ある子ども達に、愛らしいお子さんのあれこれを伝えてください。,"",鯖江市吉江保育園,10:00〜11：00,10:30,"","",鯖江市立待公民館,0778-51-3376,"",鯖江市立待公民館,"",35.983106,136.174076,立待地区,http://www.city.sabae.fukui.jp/bin/001527-10-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/tachimachikominkan/tachimachikominkan.html,"",""
神明鳥羽地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2017/06/20,2017/06/20,小学6年生と、乳幼児とのふれあい体験です。＊問合せ先・・・神明公民館（℡51-5065）,"",鯖江市鳥羽小学校,9:50〜11：00,09:50,"","",鯖江市神明公民館,0778-51-5065,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
北中山地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2017/06/20,2017/06/20,小学6年生と、乳幼児とのふれあい体験です。未来ある子ども達に、愛らしいお子さんのあれこれを伝えてください。,"",鯖江市北中山公民館,10:00〜11：00,10:00,"","",鯖江市北中山公民館,0778-65-1001,"",鯖江市北中山公民館,"",35.95175,136.237798,"","",https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/kitanakayama/kitanakayamakominkan.html,"",""
片上地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2017/06/21,2017/06/21,小学6年生と、乳幼児とのふれあい体験です。未来ある子ども達に、愛らしいお子さんのあれこれを伝えてください。,"",鯖江市片上公民館,10:00〜11：20,10:00,"","",鯖江市片上公民館,0778-51-4801,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
河和田地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2017/06/21,2017/06/21,小学6年生と、乳幼児とのふれあい体験です。＊問合せ先・・・河和田公民館（℡65-0001）,"",鯖江市河和田小学校,10:00〜11：15,10:00,"","",鯖江市河和田公民館,0778-65-0403,"",鯖江市河和田公民館,"",35.951021,136.274053,河和田地区,http://www.city.sabae.fukui.jp/bin/000098-04-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/kawadakominkan/kawadakominkan.html,"",""
子育て支援センタ−　歯っぴー教室,"",子育て,2017/06/22,2017/06/22,講師：歯科衛生士  佐々木雅代氏（子育てマイスター）　＊歯について、歯みがきについて、いろいろ教えてもらいましょう。,"",鯖江市子育て支援センタ−,10:00〜,10:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
河和田地区　〜保育園で七夕飾りづくり〜,"",子育て,2017/06/22,2017/06/22,保育園のお友達と一緒に七夕飾りを作りましょう。,"",鯖江市かわだ保育所,10:00〜,10:00,"","",鯖江市河和田公民館,0778-65-0403,"",鯖江市河和田公民館,"",35.951021,136.274053,河和田地区,http://www.city.sabae.fukui.jp/bin/000098-04-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/kawadakominkan/kawadakominkan.html,"",""
鯖江地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2017/06/23,2017/06/23,小学6年生と、乳幼児とのふれあい体験です。＊問合せ先・・・鯖江公民館（℡51-3527）,"",鯖江市惜陰小学校,10:00〜11：00,10:00,"","",鯖江市鯖江公民館,0778-51-3010,"",鯖江市惜陰小学校,"",35.942461,136.186398,鯖江地区,"",https://www.city.sabae.fukui.jp/about_city/shinoshokai/kokyoshisetsu/gakko/sekiinshogakko.html,"",""
吉川地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2017/06/23,2017/06/23,小学6年生と、乳幼児とのふれあい体験です。未来ある子ども達に、愛らしいお子さんのあれこれを伝えてください。,"",鯖江市吉川公民館,10:00〜,10:00,"","",鯖江市吉川公民館,0778-62-1020,"",鯖江市吉川公民館,"",35.96307,136.157338,吉川地区,http://www.city.sabae.fukui.jp/bin/000095-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yoshikawakominkan/yoshikawakominkan.html,"",""
立待地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2017/06/26,2017/06/26,小学6年生と、乳幼児とのふれあい体験です。未来ある子ども達に、愛らしいお子さんのあれこれを伝えてください。,"",鯖江市立待保育所,10:00〜11：00,10:30,"","",鯖江市立待公民館,0778-51-3376,"",鯖江市立待公民館,"",35.983106,136.174076,立待地区,http://www.city.sabae.fukui.jp/bin/001527-10-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/tachimachikominkan/tachimachikominkan.html,"",""
子育て支援センタ−　栄養士相談会,"",子育て,2017/06/27,2017/06/27,講師：健康づくり課　管理栄養士　　＊お子さんの食事について一緒にお話しましょう。,"",鯖江市子育て支援センタ−,14:00〜,14:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
神明鳥羽地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2017/06/27,2017/06/27,小学6年生と、乳幼児とのふれあい体験です。＊問合せ先・・・神明公民館（℡51-5065）,"",鯖江市鳥羽小学校,9:50〜11：00,09:50,"","",鯖江市神明公民館,0778-51-5065,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
神明鳥羽地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2017/06/30,2017/06/30,小学6年生と、乳幼児とのふれあい体験です。＊問合せ先・・・神明公民館（℡51-5065）,"",鯖江市鳥羽小学校,9:50〜11：00,09:50,"","",鯖江市神明公民館,0778-51-5065,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
吉川地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2017/06/30,2017/06/30,小学6年生と、乳幼児とのふれあい体験です。未来ある子ども達に、愛らしいお子さんのあれこれを伝えてください。,"",鯖江市吉川公民館,10:00〜,10:00,"","",鯖江市吉川公民館,0778-62-1020,"",鯖江市吉川公民館,"",35.96307,136.157338,吉川地区,http://www.city.sabae.fukui.jp/bin/000095-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yoshikawakominkan/yoshikawakominkan.html,"",""
立待地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2017/07/03,2017/07/03,小学6年生と、乳幼児とのふれあい体験です。未来ある子ども達に、愛らしいお子さんのあれこれを伝えてください。,"",鯖江市立待保育所,10:00〜11：00,10:30,"","",鯖江市立待公民館,0778-51-3376,"",鯖江市立待公民館,"",35.983106,136.174076,立待地区,http://www.city.sabae.fukui.jp/bin/001527-10-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/tachimachikominkan/tachimachikominkan.html,"",""
子育て支援センタ−　　お仕事相談会,"",子育て,2017/07/04,2017/07/04,ふくい女性活躍支援センター職員の方と個別にお話をしましょう。,"",鯖江市子育て支援センタ−,10:30〜,10:30,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
子育て支援センタ−　　親子体操,"",子育て,2017/07/05,2017/07/05,講師：酒井勇美子氏　　定員15組（申込制）　親子で一緒に、楽しく体を動かしましょう！,"",鯖江市子育て支援センタ−,10:30〜11：30,10:30,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
片上地区　〜子育て広場〜,"",子育て,2017/07/05,2017/07/05,子育て広場を開催します。子育てサポーターがお待ちしています。,"",鯖江市片上公民館,10:00〜,10:00,"","",鯖江市片上公民館,0778-51-4801,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
子育て支援センタ−　7月生まれの誕生会,"",子育て,2017/07/07,2017/07/07,7月生まれのお友達をみんなでお祝いしましょう !,"",鯖江市子育て支援センタ−,11:00〜11：30,11:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
吉川地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2017/07/07,2017/07/07,小学6年生と、乳幼児とのふれあい体験です。未来ある子ども達に、愛らしいお子さんのあれこれを伝えてください。,"",鯖江市吉川公民館,9:50〜,09:50,"","",鯖江市吉川公民館,0778-62-1020,"",鯖江市吉川公民館,"",35.96307,136.157338,吉川地区,http://www.city.sabae.fukui.jp/bin/000095-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yoshikawakominkan/yoshikawakominkan.html,"",""
北中山地区　〜幼稚園で七夕祭り〜,"",子育て,2017/07/07,2017/07/07,幼稚園のお友達と一緒に七夕祭りを楽しみましょう。＊問合先・・・北中山公民館（℡65-1001）,"",鯖江市北中山幼稚園,10:00〜,10:00,"","",鯖江市北中山公民館,0778-65-1001,"",鯖江市北中山幼稚園,"",35.953386,136.244047,北中山地区,"",https://www.city.sabae.fukui.jp/kosodate_kyoiku/nyuen_nyugaku/yochien_hoikuen/kitanakayamayochien/kitanakayamayochien.html,"",""
河和田地区　〜七夕送り〜,"",子育て,2017/07/10,2017/07/10,6/22にみんなで飾り付けをした七夕かざりを送りましょう。願い事が天に届きますように・・・,"",鯖江市慈光保育園,10:00〜,10:00,"","",鯖江市河和田公民館,0778-65-0403,"",鯖江市慈光保育園,"",35.954948,136.276596,河和田地区,"",http://www.mitene.or.jp/~tamasaki/,"",""
鯖江地区　〜手形足型＆作って遊ぼう〜,"",子育て,2017/07/11,2017/07/11,入園前のお子さんとおうちの方、お気軽においでください。,"",ふれあいみんなの館・さばえ,10:00〜11：30,10:00,"","",鯖江市鯖江公民館,0778-51-3010,"",ふれあいみんなの館・さばえ,"",35.93766,136.179764,"","",https://www.city.sabae.fukui.jp/about_city/shinoshokai/kokyoshisetsu/fureaiminnanoyakata.html,"",""
子育て支援センタ−　子育て講座〜お母さんの気になることにお答えします〜,"",子育て,2017/07/12,2017/07/12,講師：臨床発達心理士　富田純子氏　＊お子さんの遊んでいる様子を見ながら個別相談ができます。,"",鯖江市子育て支援センタ−,10:00〜11：30,10:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
子育て支援センタ−　母乳育児相談会,"",子育て,2017/07/13,2017/07/13,講師：助産師　吉田美里氏　＊母乳育児についての個別相談会です。,"",鯖江市子育て支援センタ−,14:00〜15:00,14:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
中河地区　〜親子遊びと子育て相談会〜,"",子育て,2017/07/13,2017/07/13,親子でふれあい遊びを楽しみ、子育てのお話をしましょう。,"",鯖江市中河公民館,10:30〜,10:30,"","",鯖江市中河公民館,0778-51-3102,"",鯖江市中河公民館,"",35.956213,136.208984,中河地区,http://www.city.sabae.fukui.jp/bin/000699-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/nakagawakominkan/nakagawakominkan.html,"",""
